account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Conto Unicredit;Mutuo;EUR;-570,28;-570,28;Spese;CASH;Contanti;Mutuo;2020-09-01 12:00:00;;;;0;false;;;3001;false
Conto Unicredit;Tariffe, tasse;EUR;-3,85;-3,85;Spese;CASH;Contanti;Tassa conto corrente;2020-09-01 12:00:00;;;;0;false;;;8005;false
Conto Unicredit;Spesa;EUR;-9,65;-9,65;Spese;DEBIT_CARD;Carta di debito;Spesa;2020-08-31 19:20:09;;;;0;false;;;1000;false
Ticket;Spesa;EUR;-56,00;-56,00;Spese;VOUCHER;Coupon;Spesa con ticket;2020-08-31 19:19:14;;;;0;false;;;1000;false
Contanti;TRANSFER;EUR;60,00;60,00;Entrata;DEBIT_CARD;Carta di debito;Prelievo;2020-08-31 18:39:28;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-60,00;-60,00;Spese;DEBIT_CARD;Carta di debito;Prelievo;2020-08-31 18:39:28;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;6045,70;6045,70;Entrata;TRANSFER;Bonifico bancario;Trasferimento a unicredit;2020-08-31 16:10:18;;;;0;true;;;20001;false
Contanti;Ristoranti & Fast-food;EUR;-10,00;-10,00;Spese;CASH;Contanti;Pranzo Gaia;2020-08-31 15:45:38;;;;0;false;;;1001;false
Contanti;Bar & Locali;EUR;-3,70;-3,70;Spese;CASH;Contanti;Colazione Gaia;2020-08-31 15:03:58;;;;0;false;;;1002;false
Conto Arancio;Viaggi;EUR;-3,30;-3,30;Spese;DEBIT_CARD;Carta di debito;Casello Roncaccio;2020-08-30 16:46:02;;;;0;false;;;4002;false
Conto Unicredit;Carburante;EUR;-20,00;-20,00;Spese;DEBIT_CARD;Carta di debito;Benzina smart;2020-08-30 16:45:22;;;;0;false;;;5000;false
Conto Unicredit;Libri & Abbonamenti;EUR;-14,99;-14,99;Spese;MOBILE_PAYMENT;Pagamento mobile;Abbonamento Spotify;2020-08-28 22:04:19;;;;0;false;;;6007;false
Conto Arancio;Viaggi;EUR;-5,50;-5,50;Spese;DEBIT_CARD;Carta di debito;Casello Roncaccio;2020-08-28 18:31:26;;;;0;false;;;4002;false
Conto Arancio;Casa & Giardino;EUR;-32,45;-32,45;Spese;DEBIT_CARD;Carta di debito;Ikea;2020-08-28 17:50:34;;;;0;false;;;2004;false
Conto Unicredit;Investimenti;EUR;-9,88;-9,88;Spese;MOBILE_PAYMENT;Pagamento mobile;Raccomandata disdetta moneyfarm;2020-08-27 22:27:21;;;;0;false;;;9005;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe;2020-08-27 19:16:29;;;;0;false;;;1002;false
Conto Arancio;Bellezza & Benessere;EUR;-45,00;-45,00;Spese;DEBIT_CARD;Carta di debito;Estetista;2020-08-27 19:16:07;;;;0;false;;;2002;false
Conto Arancio;Spesa;EUR;-17,31;-17,31;Spese;DEBIT_CARD;Carta di debito;Spesa;2020-08-27 19:15:39;;;;0;false;;;1000;false
Conto Unicredit;Energia & Utenze;EUR;-59,87;-59,87;Spese;CASH;Contanti;Bolletta Luce;2020-08-27 12:00:00;;;;0;false;;;3002;false
Contanti;Bar & Locali;EUR;-6,00;-6,00;Spese;CASH;Contanti;Gelato;2020-08-26 22:15:08;;;;0;false;;;1002;false
Contanti;TRANSFER;EUR;10,00;10,00;Entrata;CASH;Contanti;Prelievo;2020-08-26 19:02:16;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-10,00;-10,00;Spese;CASH;Contanti;Prelievo;2020-08-26 19:02:16;;;;0;true;;;20001;false
Conto Arancio;Ristoranti & Fast-food;EUR;-10,00;-10,00;Spese;DEBIT_CARD;Carta di debito;Pizza fuori Gaia;2020-08-26 19:01:42;;;;0;false;;;1001;false
Conto Unicredit;Salute;EUR;-53,25;-53,25;Spese;DEBIT_CARD;Carta di debito;Farmacia;2020-08-26 18:54:41;;;;0;false;;;6000;false
Contanti;Parcheggio;EUR;-2,00;-2,00;Spese;CASH;Contanti;Parcheggio Monza;2020-08-26 01:04:14;;;;0;false;;;5001;false
Contanti;Bar & Locali;EUR;-6,00;-6,00;Spese;CASH;Contanti;Gelato;2020-08-25 23:10:33;;;;0;false;;;1002;false
Conto Unicredit;Cultura & Eventi sportivi;EUR;-80,00;-80,00;Spese;TRANSFER;Bonifico bancario;Cenacolo;2020-08-25 21:34:16;;;;0;false;;;6003;false
Conto Unicredit;TRANSFER;EUR;300,00;300,00;Entrata;DEBIT_CARD;Carta di debito;;2020-08-25 19:28:32;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-300,00;-300,00;Spese;DEBIT_CARD;Carta di debito;;2020-08-25 19:28:32;;;;0;true;;;20001;false
Contanti;Bar & Locali;EUR;-1,10;-1,10;Spese;CASH;Contanti;Caffe Gaia lavoro;2020-08-25 09:00:16;;;;0;false;;;1002;false
Conto d'emergenza;TRANSFER;EUR;-9000,00;-9000,00;Spese;DEBIT_CARD;Carta di debito;;2020-08-24 22:35:17;;;;0;true;;;20001;false
